"run_index","run_name","beta","q10","s","diff"
1,"hectorSA-0001",0.36,2,4,2.3
2,"hectorSA-0002",0.36,2,5.5,2.3
3,"hectorSA-0003",0.36,2,2.5,2.3
4,"hectorSA-0004",0.36,2,4.75,2.3
5,"hectorSA-0005",0.36,2,1.75,2.3
6,"hectorSA-0006",0.36,2,3.25,2.3
7,"hectorSA-0007",0.36,2,6.25,2.3
8,"hectorSA-0008",0.36,2,2.875,2.3
9,"hectorSA-0009",0.36,2,5.875,2.3
10,"hectorSA-0010",0.36,2,4.375,2.3
11,"hectorSA-0011",0.36,2,1.375,2.3
12,"hectorSA-0012",0.36,2,6.625,2.3
13,"hectorSA-0013",0.36,2,3.625,2.3
14,"hectorSA-0014",0.36,2,2.125,2.3
15,"hectorSA-0015",0.36,2,5.125,2.3
16,"hectorSA-0016",0.36,2,6.0625,2.3
17,"hectorSA-0017",0.36,2,3.0625,2.3
18,"hectorSA-0018",0.36,2,1.5625,2.3
19,"hectorSA-0019",0.36,2,4.5625,2.3
20,"hectorSA-0020",0.36,2,3.8125,2.3
21,"hectorSA-0021",0.36,2,6.8125,2.3
22,"hectorSA-0022",0.36,2,5.3125,2.3
23,"hectorSA-0023",0.36,2,2.3125,2.3
24,"hectorSA-0024",0.36,2,4.1875,2.3
25,"hectorSA-0025",0.36,2,1.1875,2.3
26,"hectorSA-0026",0.36,2,2.6875,2.3
27,"hectorSA-0027",0.36,2,5.6875,2.3
28,"hectorSA-0028",0.36,2,1.9375,2.3
29,"hectorSA-0029",0.36,2,4.9375,2.3
30,"hectorSA-0030",0.36,2,6.4375,2.3
31,"hectorSA-0031",0.36,2,3.4375,2.3
32,"hectorSA-0032",0.36,2,4.65625,2.3
33,"hectorSA-0033",0.36,2,1.65625,2.3
34,"hectorSA-0034",0.36,2,3.15625,2.3
35,"hectorSA-0035",0.36,2,6.15625,2.3
36,"hectorSA-0036",0.36,2,2.40625,2.3
37,"hectorSA-0037",0.36,2,5.40625,2.3
38,"hectorSA-0038",0.36,2,6.90625,2.3
39,"hectorSA-0039",0.36,2,3.90625,2.3
40,"hectorSA-0040",0.36,2,5.78125,2.3
41,"hectorSA-0041",0.36,2,2.78125,2.3
42,"hectorSA-0042",0.36,2,1.28125,2.3
43,"hectorSA-0043",0.36,2,4.28125,2.3
44,"hectorSA-0044",0.36,2,3.53125,2.3
45,"hectorSA-0045",0.36,2,6.53125,2.3
46,"hectorSA-0046",0.36,2,5.03125,2.3
47,"hectorSA-0047",0.36,2,2.03125,2.3
48,"hectorSA-0048",0.36,2,2.59375,2.3
49,"hectorSA-0049",0.36,2,5.59375,2.3
50,"hectorSA-0050",0.36,2,4.09375,2.3
51,"hectorSA-0051",0.36,2,1.09375,2.3
52,"hectorSA-0052",0.36,2,6.34375,2.3
53,"hectorSA-0053",0.36,2,3.34375,2.3
54,"hectorSA-0054",0.36,2,1.84375,2.3
55,"hectorSA-0055",0.36,2,4.84375,2.3
56,"hectorSA-0056",0.36,2,1.46875,2.3
57,"hectorSA-0057",0.36,2,4.46875,2.3
58,"hectorSA-0058",0.36,2,5.96875,2.3
59,"hectorSA-0059",0.36,2,2.96875,2.3
60,"hectorSA-0060",0.36,2,5.21875,2.3
61,"hectorSA-0061",0.36,2,2.21875,2.3
62,"hectorSA-0062",0.36,2,3.71875,2.3
63,"hectorSA-0063",0.36,2,6.71875,2.3
64,"hectorSA-0064",0.36,2,3.67188,2.3
