"run_index","run_name","beta","q10","s","diff"
1,"hectorSA-0001",0.5,2.6,4,2.25
2,"hectorSA-0002",0.75,1.4,5.5,1.375
3,"hectorSA-0003",0.25,3.8,2.5,3.125
4,"hectorSA-0004",0.375,2,4.75,0.9375
5,"hectorSA-0005",0.875,4.4,1.75,2.6875
6,"hectorSA-0006",0.625,0.8,3.25,1.8125
7,"hectorSA-0007",0.125,3.2,6.25,3.5625
8,"hectorSA-0008",0.1875,1.7,2.875,2.90625
9,"hectorSA-0009",0.6875,4.1,5.875,1.15625
10,"hectorSA-0010",0.9375,0.5,4.375,3.78125
11,"hectorSA-0011",0.4375,2.9,1.375,2.03125
12,"hectorSA-0012",0.3125,1.1,6.625,2.46875
13,"hectorSA-0013",0.8125,3.5,3.625,0.71875
14,"hectorSA-0014",0.5625,2.3,2.125,3.34375
15,"hectorSA-0015",0.0625,4.7,5.125,1.59375
16,"hectorSA-0016",0.09375,2.45,6.0625,1.92188
17,"hectorSA-0017",0.59375,4.85,3.0625,3.67188
18,"hectorSA-0018",0.84375,1.25,1.5625,1.04688
19,"hectorSA-0019",0.34375,3.65,4.5625,2.79688
20,"hectorSA-0020",0.46875,0.65,3.8125,1.48438
21,"hectorSA-0021",0.96875,3.05,6.8125,3.23438
22,"hectorSA-0022",0.71875,1.85,5.3125,0.60938
23,"hectorSA-0023",0.21875,4.25,2.3125,2.35938
24,"hectorSA-0024",0.15625,0.95,4.1875,3.45312
25,"hectorSA-0025",0.65625,3.35,1.1875,1.70312
26,"hectorSA-0026",0.90625,2.15,2.6875,2.57812
27,"hectorSA-0027",0.40625,4.55,5.6875,0.82812
28,"hectorSA-0028",0.28125,1.55,1.9375,3.89062
29,"hectorSA-0029",0.78125,3.95,4.9375,2.14062
30,"hectorSA-0030",0.53125,0.35,6.4375,3.01562
31,"hectorSA-0031",0.03125,2.75,3.4375,1.26562
32,"hectorSA-0032",0.04688,1.475,4.65625,2.52344
33,"hectorSA-0033",0.54688,3.875,1.65625,0.77344
34,"hectorSA-0034",0.79688,0.275,3.15625,3.39844
35,"hectorSA-0035",0.29688,2.675,6.15625,1.64844
36,"hectorSA-0036",0.42188,0.875,2.40625,2.96094
37,"hectorSA-0037",0.92188,3.275,5.40625,1.21094
38,"hectorSA-0038",0.67188,2.075,6.90625,3.83594
39,"hectorSA-0039",0.17188,4.475,3.90625,2.08594
40,"hectorSA-0040",0.23438,0.575,5.78125,0.99219
41,"hectorSA-0041",0.73438,2.975,2.78125,2.74219
42,"hectorSA-0042",0.98438,1.775,1.28125,1.86719
43,"hectorSA-0043",0.48438,4.175,4.28125,3.61719
44,"hectorSA-0044",0.35938,2.375,3.53125,0.55469
45,"hectorSA-0045",0.85938,4.775,6.53125,2.30469
46,"hectorSA-0046",0.60938,1.175,5.03125,1.42969
47,"hectorSA-0047",0.10938,3.575,2.03125,3.17969
48,"hectorSA-0048",0.07812,1.325,2.59375,3.94531
49,"hectorSA-0049",0.57812,3.725,5.59375,2.19531
50,"hectorSA-0050",0.82812,2.525,4.09375,3.07031
51,"hectorSA-0051",0.32812,4.925,1.09375,1.32031
52,"hectorSA-0052",0.45312,1.925,6.34375,3.50781
53,"hectorSA-0053",0.95312,4.325,3.34375,1.75781
54,"hectorSA-0054",0.70312,0.725,1.84375,2.63281
55,"hectorSA-0055",0.20312,3.125,4.84375,0.88281
56,"hectorSA-0056",0.14062,2.225,1.46875,1.53906
57,"hectorSA-0057",0.64062,4.625,4.46875,3.28906
58,"hectorSA-0058",0.89062,1.025,5.96875,0.66406
59,"hectorSA-0059",0.39062,3.425,2.96875,2.41406
60,"hectorSA-0060",0.26562,0.425,5.21875,1.97656
61,"hectorSA-0061",0.76562,2.825,2.21875,3.72656
62,"hectorSA-0062",0.51562,1.625,3.71875,1.10156
63,"hectorSA-0063",0.01562,4.025,6.71875,2.85156
64,"hectorSA-0064",0.02344,2.1125,3.67188,3.31641
65,"hectorSA-0065",0.52344,4.5125,6.67188,1.56641
66,"hectorSA-0066",0.77344,0.9125,5.17188,2.44141
67,"hectorSA-0067",0.27344,3.3125,2.17188,0.69141
68,"hectorSA-0068",0.39844,0.3125,5.92188,3.75391
69,"hectorSA-0069",0.89844,2.7125,2.92188,2.00391
70,"hectorSA-0070",0.64844,1.5125,1.42188,2.87891
71,"hectorSA-0071",0.14844,3.9125,4.42188,1.12891
72,"hectorSA-0072",0.21094,1.2125,1.79688,2.22266
73,"hectorSA-0073",0.71094,3.6125,4.79688,3.97266
74,"hectorSA-0074",0.96094,2.4125,6.29688,1.34766
75,"hectorSA-0075",0.46094,4.8125,3.29688,3.09766
76,"hectorSA-0076",0.33594,1.8125,4.04688,1.78516
77,"hectorSA-0077",0.83594,4.2125,1.04688,3.53516
78,"hectorSA-0078",0.58594,0.6125,2.54688,0.91016
79,"hectorSA-0079",0.08594,3.0125,5.54688,2.66016
80,"hectorSA-0080",0.11719,0.7625,4.98438,2.76953
81,"hectorSA-0081",0.61719,3.1625,1.98438,1.01953
82,"hectorSA-0082",0.86719,1.9625,3.48438,3.64453
83,"hectorSA-0083",0.36719,4.3625,6.48438,1.89453
84,"hectorSA-0084",0.49219,2.5625,1.23438,2.33203
85,"hectorSA-0085",0.99219,4.9625,4.23438,0.58203
86,"hectorSA-0086",0.74219,1.3625,5.73438,3.20703
87,"hectorSA-0087",0.24219,3.7625,2.73438,1.45703
88,"hectorSA-0088",0.17969,1.6625,6.85938,0.80078
89,"hectorSA-0089",0.67969,4.0625,3.85938,2.55078
90,"hectorSA-0090",0.92969,0.4625,2.35938,1.67578
91,"hectorSA-0091",0.42969,2.8625,5.35938,3.42578
92,"hectorSA-0092",0.30469,1.0625,3.10938,1.23828
93,"hectorSA-0093",0.80469,3.4625,6.10938,2.98828
94,"hectorSA-0094",0.55469,2.2625,4.60938,2.11328
95,"hectorSA-0095",0.05469,4.6625,1.60938,3.86328
96,"hectorSA-0096",0.03906,0.8375,6.57812,1.73047
97,"hectorSA-0097",0.53906,3.2375,3.57812,3.48047
98,"hectorSA-0098",0.78906,2.0375,2.07812,0.85547
99,"hectorSA-0099",0.28906,4.4375,5.07812,2.60547
100,"hectorSA-0100",0.41406,1.4375,2.82812,2.16797
101,"hectorSA-0101",0.91406,3.8375,5.82812,3.91797
102,"hectorSA-0102",0.66406,0.2375,4.32812,1.29297
103,"hectorSA-0103",0.16406,2.6375,1.32812,3.04297
104,"hectorSA-0104",0.22656,2.3375,5.45312,3.69922
105,"hectorSA-0105",0.72656,4.7375,2.45312,1.94922
106,"hectorSA-0106",0.97656,1.1375,3.95312,2.82422
107,"hectorSA-0107",0.47656,3.5375,6.95312,1.07422
108,"hectorSA-0108",0.35156,0.5375,1.70312,3.26172
109,"hectorSA-0109",0.85156,2.9375,4.70312,1.51172
110,"hectorSA-0110",0.60156,1.7375,6.20312,2.38672
111,"hectorSA-0111",0.10156,4.1375,3.20312,0.63672
112,"hectorSA-0112",0.07031,1.8875,2.26562,1.18359
113,"hectorSA-0113",0.57031,4.2875,5.26562,2.93359
114,"hectorSA-0114",0.82031,0.6875,6.76562,2.05859
115,"hectorSA-0115",0.32031,3.0875,3.76562,3.80859
116,"hectorSA-0116",0.44531,1.2875,4.51562,0.74609
117,"hectorSA-0117",0.94531,3.6875,1.51562,2.49609
118,"hectorSA-0118",0.69531,2.4875,3.01562,1.62109
119,"hectorSA-0119",0.19531,4.8875,6.01562,3.37109
