"run_name","variable","filter_name","extreme"
"hectorSA-0403","Tgav","atm CO2","max"
"hectorSA-4680","Tgav","atm CO2","min"
"hectorSA-3276","Tgav","NPP","min"
"hectorSA-3591","Tgav","NPP","max"
"hectorSA-0650","Tgav","Tgav","min"
"hectorSA-1415","Tgav","Tgav","max"
"hectorSA-2700","Tgav","atm CO2, NPP","max"
"hectorSA-4680","Tgav","atm CO2, NPP","min"
"hectorSA-4595","Tgav","atm CO2, Tgav","max"
"hectorSA-4680","Tgav","atm CO2, Tgav","min"
"hectorSA-3276","Tgav","NPP, Tgav","min"
"hectorSA-4595","Tgav","NPP, Tgav","max"
"hectorSA-4595","Tgav","atm CO2, NPP, Tgav","max"
"hectorSA-4680","Tgav","atm CO2, NPP, Tgav","min"
"hectorSA-0975","Tgav","None","max"
"hectorSA-2730","Tgav","None","min"
