"beta","q10","s","diff","run_name"
0.35352,2.94687,6.77734,0.73926,"hectorSA-0403"
0.95215,0.29844,1.13477,1.04346,"hectorSA-0650"
0.0791,4.93906,6.63086,0.51709,"hectorSA-0975"
0.13623,4.60391,3.15918,3.97437,"hectorSA-1415"
0.32788,2.39492,6.91943,0.94519,"hectorSA-2700"
0.99976,0.51992,1.01318,3.40613,"hectorSA-2730"
0.33325,1.15977,1.02197,2.0304,"hectorSA-3276"
0.1272,4.1082,6.79346,0.58459,"hectorSA-3591"
0.31482,3.96816,3.43384,3.3194,"hectorSA-4595"
0.21423,0.4666,1.03735,3.52789,"hectorSA-4680"
