"run_index","run_name","beta","q10","s","diff"
1,"hectorSA-0001",0.36,2.6,3,2.3
2,"hectorSA-0002",0.36,1.4,3,2.3
3,"hectorSA-0003",0.36,3.8,3,2.3
4,"hectorSA-0004",0.36,2,3,2.3
5,"hectorSA-0005",0.36,4.4,3,2.3
6,"hectorSA-0006",0.36,0.8,3,2.3
7,"hectorSA-0007",0.36,3.2,3,2.3
8,"hectorSA-0008",0.36,1.7,3,2.3
9,"hectorSA-0009",0.36,4.1,3,2.3
10,"hectorSA-0010",0.36,0.5,3,2.3
11,"hectorSA-0011",0.36,2.9,3,2.3
12,"hectorSA-0012",0.36,1.1,3,2.3
13,"hectorSA-0013",0.36,3.5,3,2.3
14,"hectorSA-0014",0.36,2.3,3,2.3
15,"hectorSA-0015",0.36,4.7,3,2.3
16,"hectorSA-0016",0.36,2.45,3,2.3
17,"hectorSA-0017",0.36,4.85,3,2.3
18,"hectorSA-0018",0.36,1.25,3,2.3
19,"hectorSA-0019",0.36,3.65,3,2.3
20,"hectorSA-0020",0.36,0.65,3,2.3
21,"hectorSA-0021",0.36,3.05,3,2.3
22,"hectorSA-0022",0.36,1.85,3,2.3
23,"hectorSA-0023",0.36,4.25,3,2.3
24,"hectorSA-0024",0.36,0.95,3,2.3
25,"hectorSA-0025",0.36,3.35,3,2.3
26,"hectorSA-0026",0.36,2.15,3,2.3
27,"hectorSA-0027",0.36,4.55,3,2.3
28,"hectorSA-0028",0.36,1.55,3,2.3
29,"hectorSA-0029",0.36,3.95,3,2.3
30,"hectorSA-0030",0.36,0.35,3,2.3
31,"hectorSA-0031",0.36,2.75,3,2.3
32,"hectorSA-0032",0.36,1.475,3,2.3
33,"hectorSA-0033",0.36,3.875,3,2.3
34,"hectorSA-0034",0.36,0.275,3,2.3
35,"hectorSA-0035",0.36,2.675,3,2.3
36,"hectorSA-0036",0.36,0.875,3,2.3
37,"hectorSA-0037",0.36,3.275,3,2.3
38,"hectorSA-0038",0.36,2.075,3,2.3
39,"hectorSA-0039",0.36,4.475,3,2.3
40,"hectorSA-0040",0.36,0.575,3,2.3
41,"hectorSA-0041",0.36,2.975,3,2.3
42,"hectorSA-0042",0.36,1.775,3,2.3
43,"hectorSA-0043",0.36,4.175,3,2.3
44,"hectorSA-0044",0.36,2.375,3,2.3
45,"hectorSA-0045",0.36,4.775,3,2.3
46,"hectorSA-0046",0.36,1.175,3,2.3
47,"hectorSA-0047",0.36,3.575,3,2.3
48,"hectorSA-0048",0.36,1.325,3,2.3
49,"hectorSA-0049",0.36,3.725,3,2.3
50,"hectorSA-0050",0.36,2.525,3,2.3
51,"hectorSA-0051",0.36,4.925,3,2.3
52,"hectorSA-0052",0.36,1.925,3,2.3
53,"hectorSA-0053",0.36,4.325,3,2.3
54,"hectorSA-0054",0.36,0.725,3,2.3
55,"hectorSA-0055",0.36,3.125,3,2.3
56,"hectorSA-0056",0.36,2.225,3,2.3
57,"hectorSA-0057",0.36,4.625,3,2.3
58,"hectorSA-0058",0.36,1.025,3,2.3
59,"hectorSA-0059",0.36,3.425,3,2.3
60,"hectorSA-0060",0.36,0.425,3,2.3
61,"hectorSA-0061",0.36,2.825,3,2.3
62,"hectorSA-0062",0.36,1.625,3,2.3
63,"hectorSA-0063",0.36,4.025,3,2.3
64,"hectorSA-0064",0.36,2.1125,3,2.3
65,"hectorSA-0065",0.36,4.5125,3,2.3
66,"hectorSA-0066",0.36,0.9125,3,2.3
67,"hectorSA-0067",0.36,3.3125,3,2.3
68,"hectorSA-0068",0.36,0.3125,3,2.3
69,"hectorSA-0069",0.36,2.7125,3,2.3
70,"hectorSA-0070",0.36,1.5125,3,2.3
71,"hectorSA-0071",0.36,3.9125,3,2.3
72,"hectorSA-0072",0.36,1.2125,3,2.3
73,"hectorSA-0073",0.36,3.6125,3,2.3
74,"hectorSA-0074",0.36,2.4125,3,2.3
75,"hectorSA-0075",0.36,4.8125,3,2.3
76,"hectorSA-0076",0.36,1.8125,3,2.3
77,"hectorSA-0077",0.36,4.2125,3,2.3
78,"hectorSA-0078",0.36,0.6125,3,2.3
79,"hectorSA-0079",0.36,3.0125,3,2.3
80,"hectorSA-0080",0.36,0.7625,3,2.3
81,"hectorSA-0081",0.36,3.1625,3,2.3
82,"hectorSA-0082",0.36,1.9625,3,2.3
83,"hectorSA-0083",0.36,4.3625,3,2.3
84,"hectorSA-0084",0.36,2.5625,3,2.3
85,"hectorSA-0085",0.36,4.9625,3,2.3
86,"hectorSA-0086",0.36,1.3625,3,2.3
87,"hectorSA-0087",0.36,3.7625,3,2.3
88,"hectorSA-0088",0.36,1.6625,3,2.3
89,"hectorSA-0089",0.36,4.0625,3,2.3
90,"hectorSA-0090",0.36,0.4625,3,2.3
91,"hectorSA-0091",0.36,2.8625,3,2.3
92,"hectorSA-0092",0.36,1.0625,3,2.3
93,"hectorSA-0093",0.36,3.4625,3,2.3
94,"hectorSA-0094",0.36,2.2625,3,2.3
95,"hectorSA-0095",0.36,4.6625,3,2.3
96,"hectorSA-0096",0.36,0.8375,3,2.3
97,"hectorSA-0097",0.36,3.2375,3,2.3
98,"hectorSA-0098",0.36,2.0375,3,2.3
99,"hectorSA-0099",0.36,4.4375,3,2.3
100,"hectorSA-0100",0.36,1.4375,3,2.3
101,"hectorSA-0101",0.36,3.8375,3,2.3
102,"hectorSA-0102",0.36,0.2375,3,2.3
103,"hectorSA-0103",0.36,2.6375,3,2.3
104,"hectorSA-0104",0.36,2.3375,3,2.3
105,"hectorSA-0105",0.36,4.7375,3,2.3
106,"hectorSA-0106",0.36,1.1375,3,2.3
107,"hectorSA-0107",0.36,3.5375,3,2.3
108,"hectorSA-0108",0.36,0.5375,3,2.3
109,"hectorSA-0109",0.36,2.9375,3,2.3
110,"hectorSA-0110",0.36,1.7375,3,2.3
111,"hectorSA-0111",0.36,4.1375,3,2.3
112,"hectorSA-0112",0.36,1.8875,3,2.3
113,"hectorSA-0113",0.36,4.2875,3,2.3
114,"hectorSA-0114",0.36,0.6875,3,2.3
115,"hectorSA-0115",0.36,3.0875,3,2.3
116,"hectorSA-0116",0.36,1.2875,3,2.3
117,"hectorSA-0117",0.36,3.6875,3,2.3
118,"hectorSA-0118",0.36,2.4875,3,2.3
119,"hectorSA-0119",0.36,4.8875,3,2.3
120,"hectorSA-0120",0.36,0.3875,3,2.3
121,"hectorSA-0121",0.36,2.7875,3,2.3
122,"hectorSA-0122",0.36,1.5875,3,2.3
123,"hectorSA-0123",0.36,3.9875,3,2.3
124,"hectorSA-0124",0.36,2.1875,3,2.3
125,"hectorSA-0125",0.36,4.5875,3,2.3
126,"hectorSA-0126",0.36,0.9875,3,2.3
127,"hectorSA-0127",0.36,3.3875,3,2.3
128,"hectorSA-0128",0.36,1.79375,3,2.3
129,"hectorSA-0129",0.36,4.19375,3,2.3
130,"hectorSA-0130",0.36,0.59375,3,2.3
131,"hectorSA-0131",0.36,2.99375,3,2.3
132,"hectorSA-0132",0.36,1.19375,3,2.3
133,"hectorSA-0133",0.36,3.59375,3,2.3
134,"hectorSA-0134",0.36,2.39375,3,2.3
135,"hectorSA-0135",0.36,4.79375,3,2.3
136,"hectorSA-0136",0.36,0.29375,3,2.3
137,"hectorSA-0137",0.36,2.69375,3,2.3
138,"hectorSA-0138",0.36,1.49375,3,2.3
139,"hectorSA-0139",0.36,3.89375,3,2.3
140,"hectorSA-0140",0.36,2.09375,3,2.3
141,"hectorSA-0141",0.36,4.49375,3,2.3
142,"hectorSA-0142",0.36,0.89375,3,2.3
143,"hectorSA-0143",0.36,3.29375,3,2.3
144,"hectorSA-0144",0.36,1.04375,3,2.3
145,"hectorSA-0145",0.36,3.44375,3,2.3
146,"hectorSA-0146",0.36,2.24375,3,2.3
147,"hectorSA-0147",0.36,4.64375,3,2.3
148,"hectorSA-0148",0.36,1.64375,3,2.3
149,"hectorSA-0149",0.36,4.04375,3,2.3
150,"hectorSA-0150",0.36,0.44375,3,2.3
151,"hectorSA-0151",0.36,2.84375,3,2.3
152,"hectorSA-0152",0.36,2.54375,3,2.3
153,"hectorSA-0153",0.36,4.94375,3,2.3
154,"hectorSA-0154",0.36,1.34375,3,2.3
155,"hectorSA-0155",0.36,3.74375,3,2.3
156,"hectorSA-0156",0.36,0.74375,3,2.3
157,"hectorSA-0157",0.36,3.14375,3,2.3
158,"hectorSA-0158",0.36,1.94375,3,2.3
159,"hectorSA-0159",0.36,4.34375,3,2.3
160,"hectorSA-0160",0.36,0.51875,3,2.3
161,"hectorSA-0161",0.36,2.91875,3,2.3
162,"hectorSA-0162",0.36,1.71875,3,2.3
163,"hectorSA-0163",0.36,4.11875,3,2.3
164,"hectorSA-0164",0.36,2.31875,3,2.3
165,"hectorSA-0165",0.36,4.71875,3,2.3
166,"hectorSA-0166",0.36,1.11875,3,2.3
167,"hectorSA-0167",0.36,3.51875,3,2.3
168,"hectorSA-0168",0.36,1.41875,3,2.3
169,"hectorSA-0169",0.36,3.81875,3,2.3
170,"hectorSA-0170",0.36,0.21875,3,2.3
171,"hectorSA-0171",0.36,2.61875,3,2.3
172,"hectorSA-0172",0.36,0.81875,3,2.3
173,"hectorSA-0173",0.36,3.21875,3,2.3
174,"hectorSA-0174",0.36,2.01875,3,2.3
175,"hectorSA-0175",0.36,4.41875,3,2.3
176,"hectorSA-0176",0.36,2.16875,3,2.3
177,"hectorSA-0177",0.36,4.56875,3,2.3
178,"hectorSA-0178",0.36,0.96875,3,2.3
179,"hectorSA-0179",0.36,3.36875,3,2.3
180,"hectorSA-0180",0.36,0.36875,3,2.3
181,"hectorSA-0181",0.36,2.76875,3,2.3
182,"hectorSA-0182",0.36,1.56875,3,2.3
183,"hectorSA-0183",0.36,3.96875,3,2.3
184,"hectorSA-0184",0.36,1.26875,3,2.3
185,"hectorSA-0185",0.36,3.66875,3,2.3
186,"hectorSA-0186",0.36,2.46875,3,2.3
187,"hectorSA-0187",0.36,4.86875,3,2.3
188,"hectorSA-0188",0.36,1.86875,3,2.3
189,"hectorSA-0189",0.36,4.26875,3,2.3
190,"hectorSA-0190",0.36,0.66875,3,2.3
191,"hectorSA-0191",0.36,3.06875,3,2.3
192,"hectorSA-0192",0.36,1.15625,3,2.3
193,"hectorSA-0193",0.36,3.55625,3,2.3
194,"hectorSA-0194",0.36,2.35625,3,2.3
195,"hectorSA-0195",0.36,4.75625,3,2.3
196,"hectorSA-0196",0.36,1.75625,3,2.3
197,"hectorSA-0197",0.36,4.15625,3,2.3
198,"hectorSA-0198",0.36,0.55625,3,2.3
199,"hectorSA-0199",0.36,2.95625,3,2.3
200,"hectorSA-0200",0.36,2.05625,3,2.3
201,"hectorSA-0201",0.36,4.45625,3,2.3
202,"hectorSA-0202",0.36,0.85625,3,2.3
203,"hectorSA-0203",0.36,3.25625,3,2.3
204,"hectorSA-0204",0.36,0.25625,3,2.3
205,"hectorSA-0205",0.36,2.65625,3,2.3
206,"hectorSA-0206",0.36,1.45625,3,2.3
207,"hectorSA-0207",0.36,3.85625,3,2.3
208,"hectorSA-0208",0.36,1.60625,3,2.3
209,"hectorSA-0209",0.36,4.00625,3,2.3
210,"hectorSA-0210",0.36,0.40625,3,2.3
211,"hectorSA-0211",0.36,2.80625,3,2.3
212,"hectorSA-0212",0.36,1.00625,3,2.3
213,"hectorSA-0213",0.36,3.40625,3,2.3
214,"hectorSA-0214",0.36,2.20625,3,2.3
215,"hectorSA-0215",0.36,4.60625,3,2.3
216,"hectorSA-0216",0.36,0.70625,3,2.3
217,"hectorSA-0217",0.36,3.10625,3,2.3
218,"hectorSA-0218",0.36,1.90625,3,2.3
219,"hectorSA-0219",0.36,4.30625,3,2.3
220,"hectorSA-0220",0.36,2.50625,3,2.3
221,"hectorSA-0221",0.36,4.90625,3,2.3
222,"hectorSA-0222",0.36,1.30625,3,2.3
223,"hectorSA-0223",0.36,3.70625,3,2.3
224,"hectorSA-0224",0.36,2.43125,3,2.3
225,"hectorSA-0225",0.36,4.83125,3,2.3
226,"hectorSA-0226",0.36,1.23125,3,2.3
227,"hectorSA-0227",0.36,3.63125,3,2.3
228,"hectorSA-0228",0.36,0.63125,3,2.3
229,"hectorSA-0229",0.36,3.03125,3,2.3
230,"hectorSA-0230",0.36,1.83125,3,2.3
231,"hectorSA-0231",0.36,4.23125,3,2.3
232,"hectorSA-0232",0.36,0.93125,3,2.3
233,"hectorSA-0233",0.36,3.33125,3,2.3
234,"hectorSA-0234",0.36,2.13125,3,2.3
235,"hectorSA-0235",0.36,4.53125,3,2.3
236,"hectorSA-0236",0.36,1.53125,3,2.3
237,"hectorSA-0237",0.36,3.93125,3,2.3
238,"hectorSA-0238",0.36,0.33125,3,2.3
239,"hectorSA-0239",0.36,2.73125,3,2.3
240,"hectorSA-0240",0.36,0.48125,3,2.3
241,"hectorSA-0241",0.36,2.88125,3,2.3
242,"hectorSA-0242",0.36,1.68125,3,2.3
243,"hectorSA-0243",0.36,4.08125,3,2.3
244,"hectorSA-0244",0.36,2.28125,3,2.3
245,"hectorSA-0245",0.36,4.68125,3,2.3
246,"hectorSA-0246",0.36,1.08125,3,2.3
247,"hectorSA-0247",0.36,3.48125,3,2.3
248,"hectorSA-0248",0.36,1.98125,3,2.3
249,"hectorSA-0249",0.36,4.38125,3,2.3
250,"hectorSA-0250",0.36,0.78125,3,2.3
251,"hectorSA-0251",0.36,3.18125,3,2.3
252,"hectorSA-0252",0.36,1.38125,3,2.3
253,"hectorSA-0253",0.36,3.78125,3,2.3
254,"hectorSA-0254",0.36,2.58125,3,2.3
255,"hectorSA-0255",0.36,4.98125,3,2.3
256,"hectorSA-0256",0.36,2.59063,3,2.3
257,"hectorSA-0257",0.36,4.99062,3,2.3
258,"hectorSA-0258",0.36,1.39062,3,2.3
259,"hectorSA-0259",0.36,3.79062,3,2.3
260,"hectorSA-0260",0.36,0.79062,3,2.3
261,"hectorSA-0261",0.36,3.19063,3,2.3
262,"hectorSA-0262",0.36,1.99062,3,2.3
263,"hectorSA-0263",0.36,4.39062,3,2.3
264,"hectorSA-0264",0.36,1.09062,3,2.3
265,"hectorSA-0265",0.36,3.49063,3,2.3
266,"hectorSA-0266",0.36,2.29062,3,2.3
267,"hectorSA-0267",0.36,4.69062,3,2.3
268,"hectorSA-0268",0.36,1.69062,3,2.3
269,"hectorSA-0269",0.36,4.09063,3,2.3
270,"hectorSA-0270",0.36,0.49062,3,2.3
271,"hectorSA-0271",0.36,2.89062,3,2.3
272,"hectorSA-0272",0.36,0.34062,3,2.3
273,"hectorSA-0273",0.36,2.74063,3,2.3
274,"hectorSA-0274",0.36,1.54062,3,2.3
275,"hectorSA-0275",0.36,3.94062,3,2.3
276,"hectorSA-0276",0.36,2.14062,3,2.3
277,"hectorSA-0277",0.36,4.54063,3,2.3
278,"hectorSA-0278",0.36,0.94062,3,2.3
279,"hectorSA-0279",0.36,3.34063,3,2.3
280,"hectorSA-0280",0.36,1.84062,3,2.3
281,"hectorSA-0281",0.36,4.24062,3,2.3
282,"hectorSA-0282",0.36,0.64062,3,2.3
283,"hectorSA-0283",0.36,3.04062,3,2.3
284,"hectorSA-0284",0.36,1.24062,3,2.3
285,"hectorSA-0285",0.36,3.64062,3,2.3
286,"hectorSA-0286",0.36,2.44063,3,2.3
287,"hectorSA-0287",0.36,4.84063,3,2.3
288,"hectorSA-0288",0.36,1.31562,3,2.3
289,"hectorSA-0289",0.36,3.71563,3,2.3
290,"hectorSA-0290",0.36,2.51562,3,2.3
291,"hectorSA-0291",0.36,4.91563,3,2.3
292,"hectorSA-0292",0.36,1.91562,3,2.3
293,"hectorSA-0293",0.36,4.31562,3,2.3
294,"hectorSA-0294",0.36,0.71562,3,2.3
295,"hectorSA-0295",0.36,3.11563,3,2.3
296,"hectorSA-0296",0.36,2.21563,3,2.3
297,"hectorSA-0297",0.36,4.61562,3,2.3
298,"hectorSA-0298",0.36,1.01562,3,2.3
299,"hectorSA-0299",0.36,3.41562,3,2.3
300,"hectorSA-0300",0.36,0.41562,3,2.3
301,"hectorSA-0301",0.36,2.81563,3,2.3
302,"hectorSA-0302",0.36,1.61562,3,2.3
303,"hectorSA-0303",0.36,4.01562,3,2.3
304,"hectorSA-0304",0.36,1.46562,3,2.3
305,"hectorSA-0305",0.36,3.86563,3,2.3
306,"hectorSA-0306",0.36,0.26562,3,2.3
307,"hectorSA-0307",0.36,2.66562,3,2.3
308,"hectorSA-0308",0.36,0.86563,3,2.3
309,"hectorSA-0309",0.36,3.26562,3,2.3
310,"hectorSA-0310",0.36,2.06562,3,2.3
311,"hectorSA-0311",0.36,4.46563,3,2.3
312,"hectorSA-0312",0.36,0.56563,3,2.3
313,"hectorSA-0313",0.36,2.96563,3,2.3
314,"hectorSA-0314",0.36,1.76562,3,2.3
315,"hectorSA-0315",0.36,4.16562,3,2.3
316,"hectorSA-0316",0.36,2.36563,3,2.3
317,"hectorSA-0317",0.36,4.76562,3,2.3
318,"hectorSA-0318",0.36,1.16562,3,2.3
319,"hectorSA-0319",0.36,3.56563,3,2.3
320,"hectorSA-0320",0.36,0.67812,3,2.3
321,"hectorSA-0321",0.36,3.07812,3,2.3
322,"hectorSA-0322",0.36,1.87812,3,2.3
323,"hectorSA-0323",0.36,4.27813,3,2.3
324,"hectorSA-0324",0.36,2.47812,3,2.3
325,"hectorSA-0325",0.36,4.87812,3,2.3
326,"hectorSA-0326",0.36,1.27812,3,2.3
327,"hectorSA-0327",0.36,3.67813,3,2.3
328,"hectorSA-0328",0.36,1.57812,3,2.3
329,"hectorSA-0329",0.36,3.97812,3,2.3
330,"hectorSA-0330",0.36,0.37813,3,2.3
331,"hectorSA-0331",0.36,2.77813,3,2.3
332,"hectorSA-0332",0.36,0.97812,3,2.3
333,"hectorSA-0333",0.36,3.37813,3,2.3
334,"hectorSA-0334",0.36,2.17813,3,2.3
335,"hectorSA-0335",0.36,4.57812,3,2.3
336,"hectorSA-0336",0.36,2.02813,3,2.3
337,"hectorSA-0337",0.36,4.42812,3,2.3
338,"hectorSA-0338",0.36,0.82812,3,2.3
339,"hectorSA-0339",0.36,3.22812,3,2.3
340,"hectorSA-0340",0.36,0.22813,3,2.3
341,"hectorSA-0341",0.36,2.62813,3,2.3
342,"hectorSA-0342",0.36,1.42812,3,2.3
343,"hectorSA-0343",0.36,3.82812,3,2.3
344,"hectorSA-0344",0.36,1.12813,3,2.3
345,"hectorSA-0345",0.36,3.52813,3,2.3
346,"hectorSA-0346",0.36,2.32812,3,2.3
347,"hectorSA-0347",0.36,4.72813,3,2.3
348,"hectorSA-0348",0.36,1.72812,3,2.3
349,"hectorSA-0349",0.36,4.12812,3,2.3
350,"hectorSA-0350",0.36,0.52812,3,2.3
351,"hectorSA-0351",0.36,2.92813,3,2.3
352,"hectorSA-0352",0.36,1.95312,3,2.3
353,"hectorSA-0353",0.36,4.35313,3,2.3
354,"hectorSA-0354",0.36,0.75312,3,2.3
355,"hectorSA-0355",0.36,3.15313,3,2.3
356,"hectorSA-0356",0.36,1.35312,3,2.3
357,"hectorSA-0357",0.36,3.75313,3,2.3
358,"hectorSA-0358",0.36,2.55313,3,2.3
359,"hectorSA-0359",0.36,4.95312,3,2.3
360,"hectorSA-0360",0.36,0.45312,3,2.3
361,"hectorSA-0361",0.36,2.85312,3,2.3
362,"hectorSA-0362",0.36,1.65312,3,2.3
363,"hectorSA-0363",0.36,4.05312,3,2.3
364,"hectorSA-0364",0.36,2.25313,3,2.3
365,"hectorSA-0365",0.36,4.65313,3,2.3
366,"hectorSA-0366",0.36,1.05313,3,2.3
367,"hectorSA-0367",0.36,3.45312,3,2.3
368,"hectorSA-0368",0.36,0.90312,3,2.3
369,"hectorSA-0369",0.36,3.30313,3,2.3
370,"hectorSA-0370",0.36,2.10312,3,2.3
371,"hectorSA-0371",0.36,4.50312,3,2.3
372,"hectorSA-0372",0.36,1.50312,3,2.3
373,"hectorSA-0373",0.36,3.90313,3,2.3
374,"hectorSA-0374",0.36,0.30312,3,2.3
375,"hectorSA-0375",0.36,2.70312,3,2.3
376,"hectorSA-0376",0.36,2.40313,3,2.3
377,"hectorSA-0377",0.36,4.80312,3,2.3
378,"hectorSA-0378",0.36,1.20312,3,2.3
379,"hectorSA-0379",0.36,3.60312,3,2.3
380,"hectorSA-0380",0.36,0.60312,3,2.3
381,"hectorSA-0381",0.36,3.00313,3,2.3
382,"hectorSA-0382",0.36,1.80312,3,2.3
383,"hectorSA-0383",0.36,4.20312,3,2.3
384,"hectorSA-0384",0.36,0.99688,3,2.3
385,"hectorSA-0385",0.36,3.39688,3,2.3
386,"hectorSA-0386",0.36,2.19687,3,2.3
387,"hectorSA-0387",0.36,4.59687,3,2.3
388,"hectorSA-0388",0.36,1.59687,3,2.3
389,"hectorSA-0389",0.36,3.99688,3,2.3
390,"hectorSA-0390",0.36,0.39688,3,2.3
391,"hectorSA-0391",0.36,2.79688,3,2.3
392,"hectorSA-0392",0.36,2.49688,3,2.3
393,"hectorSA-0393",0.36,4.89687,3,2.3
394,"hectorSA-0394",0.36,1.29688,3,2.3
395,"hectorSA-0395",0.36,3.69687,3,2.3
396,"hectorSA-0396",0.36,0.69687,3,2.3
397,"hectorSA-0397",0.36,3.09688,3,2.3
398,"hectorSA-0398",0.36,1.89687,3,2.3
399,"hectorSA-0399",0.36,4.29688,3,2.3
400,"hectorSA-0400",0.36,1.74688,3,2.3
401,"hectorSA-0401",0.36,4.14687,3,2.3
402,"hectorSA-0402",0.36,0.54688,3,2.3
403,"hectorSA-0403",0.36,2.94687,3,2.3
404,"hectorSA-0404",0.36,1.14687,3,2.3
