; global historical emissions from https://github.com/openclimatedata/global-emissions/blob/master/data/global-emissions.csv the header file was modified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; global N2O from the aggregate of https://www.pik-potsdam.de/paris-reality-check/primap-hist/#id=earth&entity=n2o in all the countries for all the sectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,ffi_emissions,luc_emissions,CH4_emissions,SO2_emissions,CO_emissions,NMVOC_emissions,NOX_emissions,BC_emissions,OC_emissions,NH3,HFC134a_emissions,HFC23_emissions,HFC32_emissions,HFC125_emissions,HFC143a_emissions,HFC227ea_emissions,HFC245fa_emissions,SF6_emissions,CF4_emissions,C2F6_emissions,CFC12_emissions,CFC11_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CH3CCl3_emissions,CCl4_emissions,CH3Cl_emissions,CH3Br_emissions,halon1211_emissions,halon1301_emissions,halon2402_emissions,HCF142b_emissions,HCF141b_emissions,HFC4310_emissions,HCF22_emissions
1750,0,0,0,1218.362825,348.535,60.023,5.912,2.098,15.448,5.719433973,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1751,0.003,0,0,1202.384296,343.933,59.09,5.845,2.073,15.188,5.664121895,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1752,0.003,0,0,1199.388322,342.504,58.762,5.862,2.068,15.065,5.636878633,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1753,0.003,0,0,1203.882283,343.682,59.028,5.82,2.072,15.183,5.681458517,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1754,0.003,0,0,1229.348064,349.823,60.272,5.866,2.1,15.559,5.792082673,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1755,0.003,0,0,1219.860812,348.152,59.826,5.926,2.099,15.359,5.733468381,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1756,0.003,0,0,1209.874232,344.016,59.077,5.778,2.073,15.227,5.721910634,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1757,0.003,0,0,1251.81787,355.949,61.265,6.097,2.148,15.705,5.818500382,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1758,0.003,0,0,1238.335986,351.847,60.437,6.025,2.121,15.514,5.775571605,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1759,0.003,0,0,1235.340012,351.515,60.447,5.919,2.117,15.574,5.817674828,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1760,0.003,0,0,1249.321225,355.15,61.189,5.917,2.132,15.852,5.891974634,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1761,0.003,0,0,1252.816528,354.715,60.985,6.019,2.138,15.692,5.845743644,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1762,0.003,0,0,1231.844709,349.257,60.029,5.801,2.102,15.526,5.839139217,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1763,0.003,0,0,1238.835315,350.067,60.129,5.863,2.107,15.527,5.83501145,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1764,0.003,0,0,1211.372219,342.737,58.568,5.853,2.076,14.99,5.702097352,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1765,0.003,0,0,1247.323908,352.94,60.631,5.912,2.124,15.68,5.871335799,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1766,0.003,0,0,1240.333302,349.388,59.86,5.922,2.111,15.359,5.808593741,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1767,0.003,0,0,1239.833973,349.624,59.892,5.915,2.113,15.401,5.816849275,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1768,0.003,0,0,1293.262179,363.397,62.506,6.175,2.188,16.097,5.970402208,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1769,0.003,0,0,1269.793715,355.032,60.952,5.967,2.138,15.736,5.909311256,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1770,0.003,0,0,1273.788347,355.368,60.968,5.986,2.14,15.743,5.907660149,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1771,0.004,0,0,1226.851418,347.87,59.425,5.857,2.101,15.322,5.835837003,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1772,0.004,0,0,1216.864838,345.305,58.855,5.827,2.092,15.145,5.820151488,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1773,0.004,0,0,1217.364167,345.783,58.918,5.784,2.093,15.205,5.865556926,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1774,0.004,0,0,1262.803108,358.11,61.315,5.931,2.155,15.876,6.066166402,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1775,0.004,0,0,1247.323908,355.055,60.542,5.971,2.149,15.589,6.000947684,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1776,0.004,0,0,1233.842025,349.581,59.51,5.771,2.116,15.401,6.000947684,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1777,0.004,0,0,1259.307805,357.552,60.895,6.001,2.17,15.673,6.073596383,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1778,0.004,0,0,1278.781637,362.762,61.785,6.128,2.198,15.9,6.137989548,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1779,0.004,0,0,1250.319883,355.933,60.502,5.89,2.159,15.627,6.124780694,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1780,0.004,0,0,1273.289018,362.336,61.754,5.914,2.193,16.05,6.255218132,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1781,0.005,0,0,1273.788347,360.098,61.195,5.974,2.189,15.807,6.19660384,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1782,0.005,0,0,1257.310489,356.054,60.488,5.779,2.161,15.713,6.208161588,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1783,0.005,0,0,1255.313173,354.294,60.103,5.771,2.151,15.607,6.189173859,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1784,0.005,0,0,1239.833973,351.255,59.341,5.858,2.145,15.259,6.100014092,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1785,0.005,0,0,1262.803108,356.813,60.496,5.821,2.166,15.733,6.223021549,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1786,0.005,0,0,1260.306463,354.213,59.917,5.828,2.158,15.467,6.184220539,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1787,0.005,0,0,1277.782979,358.801,60.755,5.918,2.185,15.71,6.237055957,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1788,0.005,0,0,1324.719908,372.09,63.262,6.169,2.259,16.376,6.388957783,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1789,0.005,0,0,1297.256811,363.449,61.634,5.958,2.208,16.001,6.327041278,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
1790,0.005,0,0,1301.251443,364.888,61.848,5.997,2.216,16.057,6.340250132,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.027,3192.321,129.335,0.008,0,0,0,0,0,0
